Time (s),Signal (Green),BPM
30.67,54.97,72
30.71,51.4,72
30.74,59.8,60
30.78,58.36,60
30.81,57.03,108
30.85,55.36,108
30.89,53.92,108
30.92,54.87,60
30.96,57.57,60
30.99,51.34,48
31.02,58.28,60
31.06,53.21,108
31.09,55.48,108
31.12,53.57,108
31.16,54.8,108
31.2,56.92,108
31.24,52.1,60
31.28,55.78,108
31.31,51.08,60
31.34,54.75,84
31.39,53.28,48
31.43,60.41,48
31.46,53.97,108
31.49,57.49,84
31.53,53.85,84
31.57,57.35,84
31.6,55.63,84
31.63,53.91,84
31.66,60.26,84
31.7,52.7,84
31.72,56.35,84
31.76,51.35,84
31.79,55.6,108
31.82,55.66,108
31.86,58.01,108
31.89,56.27,84
31.92,57.81,84
31.96,55.13,84
32.02,54.6,84
32.06,57.12,84
32.11,52.66,84
32.14,58.37,84
32.18,57.15,108
32.2,58.51,84
32.24,58.85,108
32.27,53.14,108
32.33,55.47,108
32.38,58.07,108
32.42,58.42,48
32.47,55.17,84
32.51,55.34,108
32.55,57.69,108
32.58,54.3,108
32.61,53.7,108
32.64,53.33,108
32.67,53.19,120
32.7,55.0,108
32.74,57.52,120
32.79,62.3,84
32.82,57.89,120
32.86,54.05,120
32.93,52.21,120
32.98,56.23,120
33.01,54.02,120
33.07,54.19,120
33.12,58.44,120
33.16,58.02,108
33.21,53.26,120
33.24,53.46,120
33.28,53.5,120
33.31,54.02,156
33.34,53.49,120
33.39,58.37,120
33.43,56.4,120
33.47,57.51,120
33.51,54.53,120
33.55,56.46,120
33.59,55.03,120
33.62,54.06,120
33.66,53.93,120
33.69,53.38,120
33.72,53.47,120
33.76,55.43,120
33.79,53.2,96
33.83,54.72,120
33.86,57.36,120
33.89,54.75,120
33.92,54.46,120
33.96,55.0,120
33.99,54.62,120
34.03,53.78,120
34.07,57.36,120
34.11,51.0,120
34.14,61.23,96
34.19,55.22,120
34.23,56.35,120
34.27,58.73,96
34.33,54.21,120
34.37,48.91,48
34.41,53.18,48
34.45,55.87,96
34.49,50.01,96
34.54,58.67,120
34.56,57.41,84
34.61,54.96,96
34.64,56.29,96
34.68,55.48,120
34.71,55.59,96
34.74,52.51,48
34.78,53.91,96
34.81,51.59,48
34.85,54.87,120
34.89,57.33,96
34.93,56.41,120
34.98,53.39,120
35.01,59.98,120
35.06,57.29,120
35.1,56.73,96
35.14,55.27,120
35.18,54.22,96
35.21,58.07,120
35.25,54.65,96
35.29,57.48,120
35.33,56.57,120
35.36,58.44,156
35.39,57.87,96
35.43,51.91,48
35.46,57.23,156
35.48,56.97,156
35.51,55.83,96
35.54,56.29,156
35.6,61.97,96
35.64,61.97,96
35.68,56.17,60
35.71,53.85,84
35.74,54.69,84
35.77,67.24,48
35.81,55.94,96
35.84,59.69,156
35.88,54.32,96
35.91,53.01,48
35.94,57.49,120
35.98,56.19,96
36.01,54.21,120
36.04,63.27,60
36.08,63.27,120
36.14,57.93,132
36.18,56.48,132
36.23,57.09,180
36.27,51.24,132
36.31,61.7,84
36.35,64.03,48
36.41,64.35,48
36.46,58.81,120
36.49,60.79,120
36.52,60.79,120
36.56,62.08,120
36.61,63.0,96
36.65,60.4,180
36.68,58.29,84
36.72,55.43,48
36.77,51.59,60
36.83,65.35,96
36.89,70.89,96
36.96,70.89,180
37.04,67.67,96
37.08,67.06,120
37.11,64.75,180
37.14,70.94,96
37.18,65.08,180
37.21,72.54,96
37.24,62.58,120
37.28,68.56,120
